metadata unpooled pooled
XAA-002 0.074958292971693 0.0776362325309893
XAC-002 0.128433090709068 0.137421166993481
XAD-002 0.132246114541197 0.13197172034564
XBA-022 0.0171849939855654 0.0168771959176845
XBB-022 0.0175794600136705 0.0153990298157859
XCA-001 0.0894851587769617 0.0952875625649259
XCB-001 0.111519536566357 0.11497421305353
XDA-001 0.0368206809050539 0.0343309423695276
XDB-001 0.0530174569675381 0.0452245899126169
XEA-001 0.0134690500471417 0.0135551843762045
XEB-001 0.0219897226980232 0.0293918918918919
XFA-029 0.0118368549315766 0.00990939977349943
XFB-001 0.0157607245990235 0.0176337424043846
XGA-001 0.0221713853245726 0.0209537955546125
XGB-001 0.0996970197763455 0.0809497816593887
XGC-001 0.0697035254641383 0.0680158435449932
XHA-003 0.024023906970701 0.0280429201500889
XHB-001 0.0744134597001065 0.0799124920112089
XHC-029 0.00272904106142278 0.00283342873497424
XIA-002 0.061574789809187 0.0673670465337132
XIB-002 0.0172095417882272 0.0158619520373754
XIC-008 0.0530350303703407 0.0471385658168374
XJA-029 0.0463604763569798 0.0499519692603266
XJB-029 0.0562197510947223 0.0621922687432343
XKA-001 0.043383607822799 0.0488158651561758
XKB-001 0 0.000279862612899122
XLA-001 0.0282870741401024 0.0270639399058333
XLB-029 0.0647704245539465 0.0533215391419726
XMA-001 0.047175702526256 0.0471415568018322
XMB-001 0.0388935237644598 0.0393902720147533
XNA-001 0.0544339381548684 0.0463392742659315
XNB-001 0.0714092827004219 0.0488154519390373
XOA-001 0.0396086752522812 0.0387220958428118
XOB-001 0.0555772306972026 0.0527601367855398
XPA-002 0.0305205276654242 0.0324830244081483
XPB-001 0.000410914785158202 0
XQA-001 0.0498567403800717 0.0421792618629174
XQB-001 0.0588534002114121 0.0616792249730893
XRA-001 0.167038529421559 0.130942694408927
XRB-002 0.0659575014774275 0.0663850500755329
XSA-001 0.0428189281431602 0.0510318125573784
XSB-001 0 0.000308657852770204
XTA-001 0.0125639482395426 0.0161137440758294
XTB-001 0.0028360646909946 0.00276536907041055
XUA-001 0.0275084814615562 0.0261096605744125
XUB-001 0.031839867247459 0.0377928162415409
XVA-001 0.0162914539645231 0
XVB-027 0.0113930918078245 0.0130057803468208
